rcrfr_id,rcrfr_nm,ctprv_nm,rcrfr_sctn_nm,max_accpn_cnt,mnagn_nm,provd_instt_cd,provd_instt_nm,besl_tm_xcrd,besl_tm_ycrd,wgs84_lltd_xcrd,wgs84_lltd_ycrd,examin_realm_se_code_nm,spcs_lcnm,spcs_scncenm,exam_yr
39,계명산자연휴양림,경상북도,공유림,221,경상북도 안동시청 공원녹지과,5070000,경상북도 안동시,483584.3872,420538.3736,128.929439,36.3819348,포유류,너구리,Nyctereutes procyono,2009
39,계명산자연휴양림,경상북도,공유림,221,경상북도 안동시청 공원녹지과,5070000,경상북도 안동시,483584.3872,420538.3736,128.929439,36.3819348,포유류,멧돼지,"Sus scrofa Linnaeus,",2009
39,계명산자연휴양림,경상북도,공유림,221,경상북도 안동시청 공원녹지과,5070000,경상북도 안동시,483584.3872,420538.3736,128.929439,36.3819348,포유류,고라니,Hydropotes inermis S,2009
39,계명산자연휴양림,경상북도,공유림,221,경상북도 안동시청 공원녹지과,5070000,경상북도 안동시,483584.3872,420538.3736,128.929439,36.3819348,포유류,고양이,Felis catus,2009
39,계명산자연휴양림,경상북도,공유림,221,경상북도 안동시청 공원녹지과,5070000,경상북도 안동시,483584.3872,420538.3736,128.929439,36.3819348,포유류,집쥐,Rattus norvegicus (B,2009
40,장령산자연휴양림,충청북도,공유림,2500,충청북도 옥천군청,4430000,충청북도 옥천군,360611,404924.5,127.559573,36.244029,포유류,멧돼지,"Sus scrofa Linnaeus,",2015
41,만수산자연휴양림,충청남도,공유림,150,부여군시설관리공단,4570000,충청남도 부여군,284010,416348,126.705718,36.340788,포유류,너구리,Nyctereutes procyono,2013
42,유치자연휴양림,전라남도,공유림,1000,장흥군,4910000,전라남도 장흥군,292979.6875,241929.9063,126.8287126,34.76998559,포유류,고라니,Hydropotes inermis S,2013
43,아세안자연휴양림,경기도,공유림,500,산림청,5590000,경기도 양주시,306649.3333,573968.6667,126.9382707,37.76342067,포유류,고양이,Felis catus,2005
44,장흥 자연휴양림,경기도,사유림,300,민간(㈜해성농림),5590000,경기도 양주시,309273.2658,573327.2533,126.9681281,37.757909,포유류,고라니,Hydropotes inermis S,2015
45,송정자연휴양림,경상북도,공유림,500,칠곡군청,5220000,경상북도 칠곡군,440602,380481.6,128.448323,36.0236986,포유류,멧토끼,Lepus coreanus Thoma,2015
46,소선암자연휴양림,충청북도,공유림,500,충청북도 단양군청,4480000,충청북도 단양군,427890,479824,128.310837,36.919449,포유류,우수리박쥐,Myotis petax Hollist,2015
47,소백산자연휴양림,충청북도,공유림,220,충청북도 단양군청,4480000,충청북도 단양군,441762.3333,495704.8333,128.4674057,37.06204783,포유류,오소리,Meles leucurus (Hodg,2018
47,소백산자연휴양림,충청북도,공유림,220,충청북도 단양군청,4480000,충청북도 단양군,441762.3333,495704.8333,128.4674057,37.06204783,포유류,멧돼지,"Sus scrofa Linnaeus,",2018
48,검봉산자연휴양림,강원도,국유림,500,국립자연휴양림관리소,4240000,강원도 삼척시,514618,516228,129.289649,37.240889,포유류,두더지,Mogera wogura (Temmi,2017
48,검봉산자연휴양림,강원도,국유림,500,국립자연휴양림관리소,4240000,강원도 삼척시,514618,516228,129.289649,37.240889,포유류,오소리,Meles leucurus (Hodg,2017
49,가학산자연휴양림,전라남도,공유림,700,해남군청산림녹지과,4930000,전라남도 해남군,273311.6667,231199,126.6155113,34.67101833,포유류,등줄쥐,Apodemus agrarius (P,2004
50,평창자연휴양림,강원도,공유림,80,평창군청 산림과,4280000,강원도 평창군,427419,556613.1429,128.308359,37.61141914,포유류,노루,Capreolus pygargus (,2015
51,백아산자연휴양림,전라남도,공유림,170,전라남도 화순군청,4900000,전라남도 화순군,324560.375,283657.625,127.169896,35.14894125,포유류,고라니,Hydropotes inermis S,2017
51,백아산자연휴양림,전라남도,공유림,170,전라남도 화순군청,4900000,전라남도 화순군,324560.375,283657.625,127.169896,35.14894125,포유류,염소,Capra hircus,2017
52,한천자연휴양림,전라남도,공유림,86,전라남도 화순군청,4900000,전라남도 화순군,312246.0526,265672.7368,127.0366668,34.98583611,포유류,족제비,Mustela sibirica Pal,2013
53,봉수산자연휴양림,충청남도,공유림,171,예산군 관광시설사업소 휴양림팀,4610000,충청남도 예산군,290742.8571,444677.242,126.7767004,36.5968368,포유류,멧돼지,"Sus scrofa Linnaeus,",2018
54,생거진천자연휴양림,충청북도,공유림,129,진천군청 산림축산과,4450000,충청북도 진천군,346073.8333,480167,127.3925453,36.921393,포유류,노루,Capreolus pygargus (,2015
55,팔영산자연휴양림,전라남도,공유림,250,고흥군청,4880000,전라남도 고흥군,350880,224758.2222,127.4622126,34.61963015,포유류,고라니,Hydropotes inermis S,2017
55,팔영산자연휴양림,전라남도,공유림,250,고흥군청,4880000,전라남도 고흥군,350880,224758.2222,127.4622126,34.61963015,포유류,고라니,Hydropotes inermis S,2017
56,흥림산자연휴양림,경상북도,공유림,112,경상북도 영양군청 산림축산과 산지이용담당,5170000,경상북도 영양군,499618,455874,129.112673,36.698821,포유류,노루,Capreolus pygargus (,2012
57,토함산자연휴양림,경상북도,공유림,330,경상북도 경주시 산림경영과,5050000,경상북도 경주시,523238.758,351684.979,129.3605968,35.75728684,포유류,노루,Capreolus pygargus (,2013
58,거제자연휴양림,경상남도,국유림,600,경상남도 거제해양관광개발공사,B552833,거제해양관광개발공사,457820.5,242988.5,128.6296468,34.78353525,포유류,멧돼지,"Sus scrofa Linnaeus,",2013
59,구례산수유자연휴양림,전라남도,공유림,66,구례군,4870000,전라남도 구례군,351300.3333,300249.8333,127.4623715,35.3001575,포유류,고라니,Hydropotes inermis S,2017
59,구례산수유자연휴양림,전라남도,공유림,66,구례군,4870000,전라남도 구례군,351300.3333,300249.8333,127.4623715,35.3001575,포유류,염소,Capra hircus,2017
60,독용산성 자연휴양림,경상북도,공유림,96,경상북도 성주군청 산림과,5210000,경상북도 성주군,411924,367372,128.129946,35.90631,포유류,고라니,Hydropotes inermis S,2015
61,거제자연휴양림,경상남도,공유림,285,경상남도 거제시청,5370000,경상남도 거제시,457820.5,242988.5,128.6296468,34.78353525,포유류,멧돼지,"Sus scrofa Linnaeus,",2013
62,미숭산자연휴양림,경상북도,공유림,88,고령군,5200000,경상북도 고령군,419059.6071,350076.3571,128.2085876,35.75030254,포유류,개,Canis familialis,2013
63,옥성자연휴양림,경상북도,공유림,1900,구미시설공단,5080000,경상북도 구미시,425757,408728,128.2845345,36.2787815,포유류,고라니,Hydropotes inermis S,2015
64,군위장곡자연휴양림,경상북도,공유림,300,경상북도 군위군청,5140000,경상북도 군위군,475407.5,392479,128.8356135,36.1297555,포유류,개,Canis familialis,2009
64,군위장곡자연휴양림,경상북도,공유림,300,경상북도 군위군청,5140000,경상북도 군위군,475407.5,392479,128.8356135,36.1297555,포유류,집쥐,Rattus norvegicus (B,2009
65,무주자연휴양림,전라북도,공유림,300,전라북도 무주군청 시설사업소,4740000,전라북도 무주군,378479.3333,379247.3333,127.7590877,36.01317,포유류,멧돼지,"Sus scrofa Linnaeus,",2015
66,강화군 석모도자연휴양림,인천광역시,공유림,208,석모도자연휴양림관리사업소,3570000,인천광역시 강화군,251992.5,567249,126.319493,37.6956815,포유류,고양이,Felis catus,2005
67,강화군 티앤림 자연휴양림,인천광역시,사유림,40,기전산업,3570000,인천광역시 강화군,263871,569159,126.453782,37.714728,포유류,고양이,Felis catus,2005
68,옥화자연휴양림,충청북도,공유림,485,청주시시설관리공단,5710000,충청북도 청주시,373551.2625,444334.0555,127.7021953,36.59964758,포유류,멧돼지,"Sus scrofa Linnaeus,",2015
69,칠갑산자연휴양림,충청남도,공유림,500,충청남도 청양군공공시설사업소,4590000,충청남도 청양군,296722.3862,426389.0706,126.8459673,36.43271657,포유류,너구리,Nyctereutes procyono,2013
70,순천자연휴양림,전라남도,공유림,265,순천시청,4820000,전라남도 순천시,352508,272078,127.477274,35.046273,포유류,고라니,Hydropotes inermis S,2017
70,순천자연휴양림,전라남도,공유림,265,순천시청,4820000,전라남도 순천시,352508,272078,127.477274,35.046273,포유류,염소,Capra hircus,2017
71,비슬산자연휴양림,대구광역시,공유림,285,대구광역시 달성군시설관리공단,3480000,대구광역시 달성군,446617,343489,128.512907,35.690015,포유류,고라니,Hydropotes inermis S,2013
72,화원자연휴양림,대구광역시,공유림,115,대구광역시 달성군시설관리공단,3480000,대구광역시 달성군,448191,352150,128.530815,35.768003,포유류,고라니,Hydropotes inermis S,2013
73,제주절물자연휴양림,제주특별자치도,국유림,2000,제주시청,6510000,제주특별자치도 제주시,271300.2817,93058.8069,126.6139767,33.42565332,포유류,작은땃쥐,Crocidura shantungen,2013
74,안면도자연휴양림,충청남도,국유림,6000,충청남도 산림환경연구소 휴양림관리사무소,4620000,충청남도 태안군,252831.0241,434118.2677,126.3551313,36.49661925,포유류,청설모,Sciurus vulgaris Lin,2005
75,학가산우래자연휴양림,경상북도,사유림,150,(주)학가산자연휴양림개발,5230000,경상북도 예천군,452949,453733.5,128.5902735,36.6832665,포유류,Meles,Meles meles Linnaeus,2015
76,치악산자연휴양림,강원도,공유림,700,강원도 원주시 산림과,4190000,강원도 원주시,402841,517120,128.029826,37.255946,포유류,노루,Capreolus pygargus (,2015
77,간월산자연휴양림,울산광역시,사유림,200,천광디엔씨,3730000,울산광역시 울주군,495779,330291.5,129.054466,35.5675375,포유류,고라니,Hydropotes inermis S,2013
78,흥부골자연휴양림,전라북도,공유림,60,전라북도 남원시청,4700000,전라북도 남원시,362847,316515.5,127.588587,35.4472725,포유류,고라니,Hydropotes inermis S,2017
78,흥부골자연휴양림,전라북도,공유림,60,전라북도 남원시청,4700000,전라북도 남원시,362847,316515.5,127.588587,35.4472725,포유류,염소,Capra hircus,2017
79,구수곡자연휴양림,경상북도,공유림,950,경상북도 울진군청,5250000,경상북도 울진군,515020,496561,129.2911625,37.063657,포유류,다람쥐,Tamias sibiricus (La,2017
80,광치자연휴양림,강원도,공유림,160,양구군청,4320000,강원도 양구군,406398,615477,128.070763,38.142182,포유류,개,Canis familialis,2008
80,광치자연휴양림,강원도,공유림,160,양구군청,4320000,강원도 양구군,406398,615477,128.070763,38.142182,포유류,너구리,Nyctereutes procyono,2008
80,광치자연휴양림,강원도,공유림,160,양구군청,4320000,강원도 양구군,406398,615477,128.070763,38.142182,포유류,고라니,Hydropotes inermis S,2008
80,광치자연휴양림,강원도,공유림,160,양구군청,4320000,강원도 양구군,406398,615477,128.070763,38.142182,포유류,멧밭쥐,Micromys minutus (Pa,2008
81,춘천숲자연휴양림,강원도,공유림,400,강원도 춘천시청,4180000,강원도 춘천시,377703,571394,127.744777,37.74473,포유류,멧토끼,Lepus coreanus Thoma,2015
82,용문산자연휴양림,경기도,공유림,300,경기도 양평군청,4170000,경기도 양평군,358596.875,546009,127.529428,37.51533338,포유류,고라니,Hydropotes inermis S,2015
83,수도산자연휴양림,경상북도,공유림,206,김천시,5060000,경상북도 김천시,398736,365756,127.983836,35.89181,포유류,노루,Capreolus pygargus (,2015
84,대운산자연휴양림,경상남도,공유림,200,양산시시설관리공단,5380000,경상남도 양산시,509848.6667,313479.3333,129.207383,35.41457033,포유류,두더지,Mogera wogura (Temmi,2013
85,교래자연휴양림,제주특별자치도,공유림,0,제주특별자치도청,6500000,제주특별자치도,276313.3333,94401,126.66769,33.43834233,포유류,작은땃쥐,Crocidura shantungen,2013
86,서귀포자연휴양림,제주특별자치도,국유림,1500,서귀포시청,6500000,제주특별자치도,256996.7,81490.8,126.4620567,33.3195671,포유류,제주등줄쥐,Apodemus agrarius ch,2013
87,붉은오름자연휴양림,제주특별자치도,공유림,1500,서귀포시청,6500000,제주특별자치도,277638.3333,90090.44444,126.6825234,33.39963567,포유류,작은땃쥐,Crocidura shantungen,2013
88,절물자연휴양림,제주특별자치도,국유림,0,제주시청,6500000,제주특별자치도,271300.2817,93058.8069,126.6139767,33.42565332,포유류,작은땃쥐,Crocidura shantungen,2013
89,신안자연휴양림,전라남도,국유림,561,신안군청,5010000,전라남도 신안군,218009.4583,255396.3333,126.0071201,34.88068108,포유류,멧토끼,Lepus coreanus Thoma,2018
