lon_lo,lat_la,top_tprt,avrg_wind_ve,avrg_hd,top_hd,msrm_dt,de_rnfl_qy,sqre_no,frfire_occrrnc_envrn_ix,pmntn_co,su_center_dstnc_lt,ic_center_dstnc_lt,dj_center_dstnc_lt,dg_center_dstnc_lt,bs_center_dstnc_lt,us_center_dstnc_lt,gj_center_dstnc_lt,bcity_center_avrg_dstnc_lt,km_cnvr_dstnc_lt,sqre_center_antcty_hg,sqre_clinc_val_co,tpgrph_ise_lc_at,frfire_occrrnc_se,frfire_occrrnc_day,frfire_frpout_reqre_time_pd,damge_area,dmge_am,frfr_ocrn_yn
111541.24336,166956.31030,17.9927875136911281,2.3159200438116101,69.3178641840087623,93.1713143483023001,all,3.5429627601314348,5017,83.9889539978094195,0,296985.530000000000,276199.940000000000,187923.210000000000,248413.120000000000,275228.490000000000,300500.810000000000,76348.290000000000,76348.290000000000,76.4900000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,171949.42658,17.9994633077765608,2.2851259583789704,68.9580449069003286,92.8935158817086528,all,3.5563745892661555,4951,84.0270646221248631,0,292204.000000000000,271327.780000000000,184103.370000000000,246549.430000000000,274911.260000000000,299545.190000000000,75527.520000000000,75527.520000000000,75.6600000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,176942.54285,18.0065443592552026,2.2570646221248631,68.6446495071193866,92.6601807228915663,all,3.5688116100766703,4885,84.0602683461117196,0,287429.660000000000,266460.110000000000,180340.890000000000,244773.430000000000,274684.450000000000,298669.990000000000,75030.740000000000,75030.740000000000,75.1700000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,181935.65913,18.0144000000000000,2.2357534246575342,68.4432821917808219,92.5182301369863014,all,3.5801643835616438,4819,84.0816931506849315,0,282662.890000000000,261597.160000000000,176639.410000000000,243087.020000000000,274548.270000000000,297875.930000000000,74864.420000000000,74864.420000000000,75.0000000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,181935.65913,15.2000000000000000,2.6800000000000000,48.8700000000000000,79.3500000000000000,all,0.00000000000000000000,4819,85.7500000000000000,0,282662.890000000000,261597.160000000000,176639.410000000000,243087.020000000000,274548.270000000000,297875.930000000000,74864.420000000000,74864.420000000000,75.0000000000000000,0.00000000000000000000,7,0,all,all,170.0000000000000000,1,868,1
111541.24336,186928.77541,18.0167743702081051,2.2275355969331873,68.3678806133625411,92.4770372398685652,all,3.5822179627601314,4753,84.0894085432639650,0,277904.070000000000,256739.210000000000,173002.860000000000,241492.100000000000,274502.860000000000,297163.660000000000,75030.740000000000,75030.740000000000,75.1700000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,191921.89169,18.0191237677984666,2.2237732749178532,68.3536254107338445,92.4787623220153341,all,3.5841073384446878,4687,84.0909529025191676,0,273153.610000000000,251886.540000000000,169435.420000000000,239990.480000000000,274548.270000000000,296533.760000000000,75527.520000000000,75527.520000000000,75.6600000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,196915.00797,18.0203669222343921,2.2219496166484118,68.3460952902519168,92.4796933187294633,all,3.5849561883899233,4621,84.0919496166484118,0,268411.960000000000,247039.480000000000,165941.540000000000,238583.920000000000,274684.450000000000,295986.770000000000,76348.290000000000,76348.290000000000,76.4900000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,201908.12425,18.0201150054764513,2.2222289156626506,68.3475520262869660,92.4794468784227820,all,3.5848411829134721,4555,84.0917743702081051,0,263679.590000000000,242198.350000000000,162525.960000000000,237274.110000000000,274911.260000000000,295523.130000000000,77482.770000000000,77482.770000000000,77.6200000000000000,0.00000000000000000000,7,0,all,all,,,,0
111541.24336,206901.24053,18.0184501642935378,2.2246659364731654,68.3571522453450164,92.4784556407447974,all,3.5836308871851041,4489,84.0906352683461117,0,258957.020000000000,237363.510000000000,159193.740000000000,236062.680000000000,275228.490000000000,295143.260000000000,78917.430000000000,78917.430000000000,79.0600000000000000,18.8300000000000000,3,1,all,all,,,,0
